"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper","P.adjust","LRT.adjust","Wald.adjust","LogRank.adjust"
"1","gene_1374","gene_1374high",-0.619968378928387,0.135801424567749,-4.56525681451224,4.98883222627731e-06,9.39942122242104e-06,4.98883222627731e-06,3.53756162470627e-06,0.537961448243206,0.412246305189663,0.702013616987497,0.0413175084980287,0.0778460065640911,0.0413175084980287,0.0292980853758173
"2","gene_17266","gene_17266high",-0.886086814624627,0.195080047427985,-4.54217038752633,5.56780099723941e-06,4.25980664772042e-05,5.5678009972394e-06,2.72748620964586e-06,0.412265873133443,0.281270994346007,0.604268316203977,0.0461125278591368,0.352797186564205,0.0461125278591367,0.022589040788287
"3","gene_20068","gene_20068high",-0.607115142756605,0.133201497052531,-4.55787026565606,5.1674938942901e-06,4.57688981913986e-06,5.16749389429011e-06,3.73040232799107e-06,0.54492062193263,0.419712519408034,0.707480645624411,0.0427971844325106,0.0379058014821163,0.0427971844325107,0.0308951920804221
"4","gene_21063","gene_21063high",-0.919312894670599,0.191984367283213,-4.78847787285952,1.68051088827827e-06,1.72242328530418e-05,1.68051088827828e-06,7.15706671017836e-07,0.398792959736217,0.273734850467601,0.580984936567277,0.0139179911767206,0.142651096488892,0.0139179911767207,0.00592748264936972
"5","gene_21270","gene_21270high",-0.764131543372275,0.158078822646064,-4.8338640849012,1.33908028524206e-06,2.72772739804327e-07,1.33908028524206e-06,7.44444945035777e-07,0.465738228842945,0.34165277259608,0.634890494690082,0.0110902629223747,0.00225910383105944,0.0110902629223748,0.00616549303478631
"6","gene_24498","gene_24498high",-0.865986022998854,0.149938250738392,-5.77561775420336,7.66712564756786e-09,7.13371910049425e-08,7.66712564756789e-09,2.67088883999466e-09,0.420636590727336,0.313530199203411,0.564332054482335,6.3499134613157e-05,0.000590814615902934,6.34991346131573e-05,2.21203013728358e-05
"7","gene_24954","gene_24954high",0.708795500149831,0.147630810951668,4.80113531572945,1.57768611932582e-06,5.58297646193903e-06,1.57768611932583e-06,9.61034941797216e-07,2.03154279136573,1.52111623074162,2.7132483565295,0.0130663964402564,0.046238211057779,0.0130663964402565,0.00795929138796454
"8","gene_2527","gene_2527high",-0.696175624964909,0.150511225024321,-4.62540667549822,3.7386411638727e-06,1.32836295447965e-05,3.73864116387269e-06,2.37936028990508e-06,0.498488068353539,0.371141382047901,0.669530174511155,0.0309634261191937,0.110015019890004,0.0309634261191936,0.0197058619209939
"9","gene_27685","gene_27685high",-0.744729219683979,0.146802018842051,-5.07301756173568,3.91556347737288e-07,1.68792381850126e-06,3.91556347737288e-07,2.12065458737687e-07,0.474862866049477,0.356131266677038,0.633178725520936,0.00324286967196022,0.0139793850648274,0.00324286967196022,0.00175632612926552
"10","gene_29320","gene_29320high",-0.618204190872052,0.136323312250253,-4.53483839753831,5.76476067113638e-06,1.06298361535101e-05,5.76476067113638e-06,4.13542807634946e-06,0.538911351062199,0.41255201955932,0.703972906529245,0.0477437478783515,0.0880363030233707,0.0477437478783515,0.0342496153283262
"11","gene_4602","gene_4602high",1.03297612780258,0.180417853054001,5.7254651372744,1.03150727786743e-08,3.0154499227975e-07,1.03150727786743e-08,2.24667826901046e-09,2.80941458191362,1.97262202244817,4.00117721654214,8.54294327529805e-05,0.00249739562606089,8.54294327529802e-05,1.86069894239446e-05
"12","gene_4627","gene_4627high",-0.602102969921377,0.133040155576327,-4.52572358558271,6.01892083484371e-06,8.56181202997384e-06,6.01892083484369e-06,4.39374509364495e-06,0.547658714435502,0.421954882846133,0.710810751789586,0.0498487023541756,0.0709089272322433,0.0498487023541755,0.0363889968655675
"13","gene_4679","gene_4679high",0.672886158961147,0.145628583627757,4.62056378081048,3.82698668664934e-06,1.06658560813222e-05,3.82698668664936e-06,2.53508352511814e-06,1.95988570734117,1.47323310957327,2.60729409411171,0.0316951037388298,0.0883346200655105,0.03169510373883,0.0209955617550285
"14","gene_5294","gene_5294high",-0.606674013079324,0.133008327855301,-4.56117314503286,5.08686123770172e-06,7.16524641129749e-06,5.08686123770173e-06,3.68056751950824e-06,0.545161055618045,0.420056713230439,0.707524882240221,0.0421293847706456,0.0593425707783658,0.0421293847706458,0.0304824601965672
"15","gene_5834","gene_5834high",-0.881507546843707,0.174882706666443,-5.04056440826379,4.64160874390734e-07,3.81589625906032e-08,4.64160874390734e-07,2.00267631522264e-07,0.414158078113527,0.293971823865351,0.583480795578748,0.00384418036170406,0.000316032528175376,0.00384418036170406,0.00165861652426739
