"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper","P.adjust","LRT.adjust","Wald.adjust","LogRank.adjust"
"1","gene_1374","gene_1374high",-0.639395760475077,0.163911443897103,-3.9008610092927,9.58511733767322e-05,0.000218120744300747,9.58511733767322e-05,7.2660218290981e-05,0.527611131244895,0.382641680727981,0.727504398590108,0.00143776760065098,0.0032718111645112,0.00143776760065098,0.00108990327436472
"2","gene_17266","gene_17266high",-0.452489548584343,0.19634169638848,-2.30460241969719,0.0211888503379426,0.0154577711928119,0.0211888503379427,0.0201111603745395,0.636042719683341,0.432872434829434,0.934571732250834,0.317832755069139,0.231866567892178,0.31783275506914,0.301667405618093
"3","gene_20068","gene_20068high",0.223622538952074,0.146874637264951,1.52254019561373,0.127873781730906,0.125967886545322,0.127873781730906,0.127087919185807,1.25059887796345,0.9377738469955,1.66777689373006,1,1,1,1
"4","gene_21063","gene_21063high",-0.369369705216528,0.165840705439711,-2.22725599385976,0.0259301697873635,0.0219983208044771,0.0259301697873634,0.0250985472459726,0.691169834116088,0.499368232222488,0.956640228125724,0.388952546810452,0.329974812067156,0.388952546810451,0.376478208689589
"5","gene_21270","gene_21270high",-0.44711375317391,0.211125772345454,-2.11776017776893,0.0341953834778271,0.0255003215990703,0.0341953834778271,0.0327282497444595,0.639471162263003,0.422776054050071,0.967233984632359,0.512930752167406,0.382504823986055,0.512930752167407,0.490923746166892
"6","gene_24498","gene_24498high",-0.206228721503948,0.150063422972495,-1.37427707178016,0.169355681595609,0.17321632290431,0.169355681595608,0.168619497386313,0.813646956443367,0.606319850573379,1.09186820966442,1,1,1,1
"7","gene_24954","gene_24954high",0.563459393463314,0.146807308248345,3.83808817276416,0.000123995960792155,0.000145580047687345,0.000123995960792155,0.000101615875624429,1.75673925289189,1.31748202309325,2.34244775151116,0.00185993941188232,0.00218370071531017,0.00185993941188232,0.00152423813436644
"8","gene_2527","gene_2527high",0.236224557178758,0.166012311567689,1.42293396765601,0.154755298224593,0.1629355614429,0.154755298224593,0.153801616408609,1.26645867062418,0.914705069131127,1.75348056824778,1,1,1,1
"9","gene_27685","gene_27685high",-0.657924204250105,0.148089053484262,-4.44276054691662,8.881198721439e-06,1.49260430823988e-05,8.88119872143899e-06,6.15660917386096e-06,0.517925326603649,0.387448084137441,0.692342161233505,0.000133217980821585,0.000223890646235982,0.000133217980821585,9.23491376079144e-05
"10","gene_29320","gene_29320high",-0.430442638372122,0.241880188516607,-1.77956963326316,0.0751464195849011,0.0594722493282163,0.0751464195849011,0.0729220769610616,0.650221218153886,0.404736477522713,1.04459977298142,1,0.892083739923244,1,1
"11","gene_4602","gene_4602high",0.519209065388282,0.151885984866579,3.4184132646891,0.000629873896417339,0.000894583690017674,0.000629873896417339,0.000547928980885105,1.68069780179357,1.24796971807939,2.26347247055078,0.00944810844626008,0.0134187553502651,0.00944810844626008,0.00821893471327657
"12","gene_4627","gene_4627high",0.368517180221797,0.146488058221205,2.51568069572822,0.0118802760358417,0.0129243456285941,0.0118802760358416,0.0114094576721196,1.44558947596321,1.0848110907688,1.9263528468672,0.178204140537626,0.193865184428912,0.178204140537624,0.171141865081793
"13","gene_4679","gene_4679high",0.523178394996804,0.214806016849025,2.43558538383269,0.0148677152484332,0.00948334575267611,0.0148677152484331,0.0137669387070847,1.68738230305909,1.10756768734401,2.57073140469169,0.223015728726498,0.142250186290142,0.223015728726497,0.206504080606271
"14","gene_5294","gene_5294high",0.303225467388026,0.218597045469544,1.38714348465553,0.165398014534139,0.181601829076852,0.165398014534139,0.163785564785359,1.35421976241627,0.882305537239475,2.07854432224993,1,1,1,1
"15","gene_5834","gene_5834high",-0.396725977774844,0.145575351497283,-2.72522768239545,0.00642571587950641,0.00687751243881336,0.00642571587950641,0.00609089619362394,0.672518285342884,0.505580288255323,0.894577685536914,0.0963857381925961,0.1031626865822,0.0963857381925961,0.0913634429043591
