"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",45378.2961524858,0.139623310334104,0.148554229142564,0.939881086792289,0.347278559734843,0.865858215148924
"A2ML1",3184.00554036391,-0.861713350780183,0.306862431959433,-2.80814221955362,0.00498282159895835,0.385547657587923
"AAAS",2827.15477253068,0.0117992926877351,0.0424702079453236,0.277825168714164,0.781146569643312,0.962379999656542
"AADAT",776.341133894578,-0.12436157910918,0.128304948125044,-0.969265651298028,0.332412662499783,0.864412783539406
"AAED1",158.946661366425,0.0536574309259237,0.125518589798167,0.427485928675622,0.669025431999947,0.944618294613561
"AAGAB",2047.69534727265,-0.146223294108043,0.0508217466621164,-2.87717962706388,0.00401247117581608,0.385547657587923
"AAK1",4468.71902088778,0.0132370416375817,0.0635110707593868,0.208421011948146,0.834900251389501,0.971828480285662
"AAMDC",179.099631138438,0.0400174750828075,0.0801653788099713,0.499186502663043,0.617648002310617,0.937948607822307
"AAMP",2612.90016495584,-0.0193985074846684,0.0616613003255853,-0.314597768490771,0.753067073685039,0.960366668090651
"AAR2",1149.17751325021,-0.00692435462341822,0.0496543651260925,-0.13945107556676,0.889093714137778,0.981853195041389
"AARS",13441.5081929686,-0.110616405909554,0.0682517255210505,-1.62071222471052,0.105079370628827,0.720723344973466
"AARS2",1245.07647814313,-0.0331379637250692,0.0665923196748288,-0.497624409044201,0.618748796111358,0.937948607822307
"AARSD1",76.8546642048279,-0.0467401369137911,0.101329065097861,-0.461270780191751,0.644604345948598,0.941184871003357
"AASDH",1273.65797334262,-0.0463209968233951,0.0588183562145843,-0.787526204479506,0.430973894757625,0.888810951050805
"AASDHPPT",504.963841426839,-0.04123629194089,0.0652633953154442,-0.631844110187317,0.527488747004061,0.917173182469885
"AASS",2805.76194697079,0.128262316702385,0.110316188686539,1.16267900685764,0.244959762174908,0.835176096129234
"AATF",3680.64098050567,-0.0612484510612599,0.0470695920080009,-1.30123182395226,0.193179115267732,0.795582265391675
"AATK",34.5084754186021,-0.188890316141347,0.184160622186511,-1.02568243905066,0.305041294547781,0.855542057220958
"ABAT",2069.13958025155,0.0471880778049104,0.162588054495836,0.290230902579125,0.771639596316147,0.961932654593099
"ABCA1",17353.3207185745,-0.0882036905593823,0.094260237969866,-0.935746529597985,0.349403707693622,0.866049563829303
"ABCA10",642.900260597677,-0.153362003705032,0.160176064203851,-0.957458934125468,0.338335664396017,0.864654977791126
"ABCA11P",497.175635495877,0.129628593381525,0.083881025483976,1.54538636877167,0.122252835473418,0.74380608086046
