"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0061061","GO:0061061","muscle structure development",305,0.547582805123187,2.03912936654601,3.38103916933089e-10,1.59483617617338e-06,1.45206734851263e-06,1206,"tags=32%, list=15%, signal=29%","TTN/ACTC1/LRP2/DES/NEB/FGF9/JPH2/MYH11/SPEG/FLNC/COL11A1/OBSCN/COL19A1/FGF10/PDLIM3/FHL1/LMOD1/MYH3/FOXC2/TAGLN/COMP/DMD/RBPMS2/AKAP6/CRYAB/EDN1/MYLK/MYL9/PKP2/ITGA11/HDAC9/ADARB1/CAV1/ITGA8/FRS2/NPNT/CACNA1H/CDH2/EVC/CSRP1/ZEB1/TPM1/BARX2/FOXF1/LRRC8A/JAG1/FHOD3/ZFPM2/ATG5/ACTN1/WNT5A/SYNE1/PDLIM5/GJA1/HEG1/DSP/TGFB1/TANC1/DLL4/FOXC1/ANK2/ITGA7/IGF2/OBSL1/LIF/LAMA5/RYR2/CNTNAP1/LY6E/SVIL/PLEC/AKAP13/PLEKHO1/CFL2/BMP2/PDLIM1/ELN/FHL3/CHRNB1/MEF2C/LGALS1/DYSF/SGCB/PDGFRB/BMPR2/MMP14/SKI/CAPN2/GPC1/MYH9/CAPN3/CDK9/BASP1/CD9/TGFBR1/MEF2A/MBNL1/HOPX"
"GO:0006936","GO:0006936","muscle contraction",149,0.620779442288515,2.12502527217563,1.38253321095781e-08,2.42025536664368e-05,2.20359548238872e-05,813,"tags=37%, list=10%, signal=34%","MYBPC2/CACNA1S/TTN/DES/ATP1A2/CNN1/SYNM/CASQ2/MYH11/GJA5/LMOD1/MYH3/ATP8A2/COMP/DMD/KCND3/CACNB2/TPM2/CRYAB/EDN1/ACTA2/MYLK/MYL9/SULF1/PKP2/CALD1/CAV1/FLNA/PDE5A/PRKG1/NPNT/CACNA1H/ATP2B4/TPM1/FGF13/DOCK5/TPCN2/CACNA1C/SCN7A/GJA1/DSP/KCNMA1/GPD1L/KCNE4/GSN/ITGA2/DTNA/KCNJ2/SPHK1/APBB1/ANK2/F2R/RYR2/ATP2A1/ANXA6"
"GO:0003012","GO:0003012","muscle system process",196,0.585841230336382,2.07255149465607,1.64276819347818e-08,2.42025536664368e-05,2.20359548238872e-05,813,"tags=32%, list=10%, signal=30%","MYBPC2/CACNA1S/TTN/DES/ATP1A2/MLIP/CNN1/SYNM/CASQ2/MYH11/GJA5/CAMK2B/ABCC8/LMOD1/MYH3/ATP8A2/COMP/DMD/AKAP6/KCND3/CACNB2/TPM2/CRYAB/EDN1/ACTA2/MYLK/MYL9/SULF1/PKP2/CALD1/CAV1/FLNA/PDE5A/PRKG1/NPNT/CACNA1H/ATP2B4/TPM1/FGF13/DOCK5/TPCN2/IL1B/CACNA1C/SCN7A/PDLIM5/GJA1/DSP/KCNMA1/GPD1L/KCNE4/GSN/ITGA2/DTNA/FBXO32/KCNJ2/SPHK1/APBB1/ANK2/F2R/RYR2/AKAP13/ATP2A1/ANXA6"
"GO:0048729","GO:0048729","tissue morphogenesis",347,0.503662856820699,1.90045068951162,2.05236834144047e-08,2.42025536664368e-05,2.20359548238872e-05,1179,"tags=31%, list=14%, signal=28%","TTN/FLG2/ACTC1/LRP2/LGR5/ACTG2/RET/HMGA2/COL11A1/FGF10/FOXC2/KRT6A/FST/KRT17/FGF1/INHBA/EGFR/EDN1/ACTA2/MYLK/SULF1/PKP2/GLI2/ITGA5/ADARB1/ITGA8/FLNA/FRS2/NPNT/SLIT2/SIX2/LAMA3/SEMA3E/TPM1/PIK3CD/CELSR1/FGF2/AJUBA/FOXF1/JAG1/KIF26B/ZFPM2/COL5A1/COL4A1/TGM2/WNT5A/TXNRD1/MICAL2/PHLDB2/NRP2/TNC/KRT10/ARHGAP24/DACT1/GJA1/CA2/HEG1/DSP/TGFB1/PRKX/DLL4/ITGA2/FOXC1/ITGA3/ANKRD6/ALDH1A3/ACVRL1/TP63/CELSR2/MSN/BMP7/DAAM1/FERMT2/SFRP2/LIF/LAMA5/RYR2/LY6E/FRZB/PLXNA1/ILK/TGFBR2/EPHA4/BMP2/GREB1L/FZD3/VCL/MEF2C/VASP/ROBO2/ITGB4/BMPR2/JAG2/GLI3/MMP14/SKI/CXCR4/YAP1/PRICKLE2/DCHS1/LAMA1/GCNT1/MMP2/PKD2/PKD1/STARD13/TRAF3IP1/TGFBR1/CTHRC1"
"GO:0030029","GO:0030029","actin filament-based process",471,0.464648806087263,1.78941326920687,3.42122578194084e-08,3.22758440268299e-05,2.93865288217235e-05,1295,"tags=29%, list=16%, signal=26%","TTN/ACTC1/CCL21/NEB/ATP1A2/CNN1/GAS2L2/MYH11/FLNC/GJA5/OBSCN/NTRK3/SYNPO2/CCR7/SORBS1/FGF10/PDLIM3/LMOD1/MYH3/DMD/KCND3/CACNB2/IL1A/TPM2/EDN1/ACTA2/MYL9/PKP2/CALD1/CAV1/FLNA/PRKG1/SLIT2/CSRP1/SEMA3E/MYADM/ANTXR1/SYNPO/PALLD/ARHGEF17/TPM1/FGF13/EPHA3/CELSR1/THSD7A/FHOD3/AMOTL2/ACTN1/FRMD6/ARHGEF10/MICAL2/PHLDB2/CACNA1C/SHROOM2/SHANK3/HMCN1/PDLIM5/GJA1/DSP/GPD1L/KCNE4/GSN/DIXDC1/CORO1A/ESPN/CDC42EP3/PTK2B/KCNJ2/DAAM1/FERMT2/ARHGAP26/MYO1B/GMFG/ANK2/PPFIA1/BAG4/OBSL1/DSTN/MYO1D/DAAM2/RUFY3/RYR2/SVIL/FER/PLEC/AKAP13/ATP2A1/JAM3/CFL2/F2RL1/FGD2/DBN1/PDLIM1/ELN/ELMO1/FHL3/SWAP70/ARHGAP25/CACNA1D/VASP/MICAL3/PDGFRB/INF2/FMNL1/TLN1/ARHGAP28/CTTN/PLEKHG2/BCR/SIPA1L1/MYH9/FMNL3/CAPN3/MPRIP/MYO1E/STARD13/AMOTL1/ENAH/TGFBR1/AMOT/SCIN/MEF2A/SNX9/SHROOM4/DMTN/SEMA5A/TNXB/FLII/GAB1/FGD4/PIK3CA/ANXA1/EHD2/NEDD9/SPECC1"
"GO:0032989","GO:0032989","cellular component morphogenesis",385,0.479279032570004,1.81592869097297,4.83956082390437e-08,3.80470140105948e-05,3.46410669500523e-05,1188,"tags=26%, list=14%, signal=24%","TTN/ACTC1/LRP2/FEZF1/NEB/PTPRZ1/RET/MYH11/FLNC/CAMK2B/OBSCN/CNTN1/LMOD1/MYH3/ATP8A2/GAP43/NTRK2/LAMC2/CCDC136/ARHGEF25/EDN1/MYL9/NFASC/GLI2/ADARB1/CDH2/SLIT2/CSRP1/LAMA3/SEMA3E/MAP1A/PALLD/TPM1/FGF13/EPHA3/FN1/MAP1B/FHOD3/WNT5A/PREX2/PHLDB2/NRP2/PHLDB1/SHANK3/PDLIM5/CAPRIN2/LAMB2/DIXDC1/ITGA1/UNC5B/GRIP1/CELSR2/BMP7/MAP4K4/APBB1/ANK2/OBSL1/STXBP1/FYN/RUFY3/LAMA5/PLXNA2/CNTNAP1/PLEC/PLXNA1/AKAP13/EPHA4/PLEKHO1/CUX1/CFL2/KIF1A/DBN1/FZD3/VCL/EPHB6/TRIO/DIP2B/ZDHHC17/TENM4/VASP/ROBO2/LRRK2/RAB21/PDGFRB/NSMF/ITGB4/BMPR2/GLI3/DPYSL2/CTTN/CXCR4/GPC1/ITGA4/SIPA1L1/LAMA1/VLDLR/ULK1/CAPN3/CD9/ENAH/SKIL/MEF2A"
"GO:0007517","GO:0007517","muscle organ development",149,0.605396364779603,2.07236658819962,7.51068060128887e-08,4.42848504953495e-05,4.03204958595508e-05,951,"tags=32%, list=11%, signal=28%","TTN/ACTC1/LRP2/DES/NEB/JPH2/SPEG/COL11A1/COL19A1/FHL1/MYH3/FOXC2/TAGLN/DMD/CRYAB/MYLK/PKP2/ITGA11/HDAC9/ADARB1/CAV1/CACNA1H/EVC/TPM1/ZFPM2/WNT5A/GJA1/HEG1/DSP/TGFB1/DLL4/FOXC1/ITGA7/IGF2/LIF/LAMA5/RYR2/CNTNAP1/LY6E/SVIL/PLEC/CFL2/BMP2/ELN/FHL3/MEF2C/SGCB"
"GO:0098609","GO:0098609","cell-cell adhesion",465,0.45757407783305,1.75879954331633,7.40761524129293e-08,4.42848504953495e-05,4.03204958595508e-05,1288,"tags=33%, list=16%, signal=29%","DSG1/HBB/B4GALNT2/IGFN1/CCL21/RET/CDH19/OBSCN/BLK/CD24/COL19A1/CCR7/CNTN1/ZBTB16/CDH6/COMP/IL7R/CDH13/PCDH7/PKP1/FGG/FSTL3/PCDHB11/FGA/IL1A/EGFR/MYL9/NFASC/PKP2/ITGA11/GLI2/ITGA5/CAV1/ITGA8/FLNA/PDE5A/PRKG1/NPNT/CDH2/ADAM19/ABCA12/CSRP1/LAMA3/MYADM/PCDHB12/PALLD/MMRN1/NT5E/VTCN1/ITGA6/IDO1/CELSR1/SELL/AJUBA/FOXF1/CADM3/ITGA9/FN1/JAG1/KIF26B/IL1B/WNT5A/PCDHGB7/CCL19/HMCN1/CD209/PCDHB16/PDLIM5/CDH3/DSC3/ATP1B2/FGB/DSP/TGFB1/PCDHGA6/CD200/PCDHGB6/ITGA2/ITGA3/CORO1A/ITGA1/LPP/CR1/ETS1/CELSR2/MSN/BMP7/SPARCL1/CD34/SRPX2/PCDHB10/ITGA7/IGF2/OBSL1/STXBP1/FYN/ALOX5/FBLIM1/LAMA5/KIFC3/TLN2/CD93/IL1RAP/FER/ADAM9/ILK/ARVCF/PRNP/TGFBR2/CDH23/JAM3/ITGAV/BMP2/PDLIM1/VCL/SWAP70/LGALS1/TENM4/ICAM1/ROBO2/JAK3/PRKCA/AKNA/TLN1/RASAL3/GLI3/LRRC32/NFAT5/DSG3/NLRP3/ITGA4/IL2RA/DCHS1/PODXL2/SLAMF1/MYH9/GCNT1/FCGR2B/PTPRC/PKD1/CD9/LAMB1/CDH5/VAV1/ARG2/DMTN/TNXB/NLGN2/CD80/RUNX1/PIK3CA/ANXA1"
"GO:0060401","GO:0060401","cytosolic calcium ion transport",95,0.664825754812081,2.15470883185793,1.48243049854996e-07,7.76958295740019e-05,7.07405430887e-05,797,"tags=35%, list=10%, signal=32%","CACNA1S/CACNA1A/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CCR7/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/ATP2A3/F2R/FYN/RYR2/PRNP"
"GO:0097435","GO:0097435","supramolecular fiber organization",461,0.458298736859079,1.75994093370688,2.02572633478781e-07,9.5553511211941e-05,8.69996152203607e-05,1570,"tags=33%, list=19%, signal=28%","TTN/ACTC1/DES/KRT14/CCL21/NEB/GAS2L2/MYH11/FLNC/COL11A1/OBSCN/MMP11/SYNPO2/CCR7/SORBS1/LMOD1/MYH3/FOXC2/KRT6A/KRT17/COMP/PKP1/KRT6B/LOXL4/TPM2/CRYAB/EDN1/AEBP1/MYL9/PKP2/CALD1/FLNA/SLIT2/THSD4/BMP1/CSRP1/MYADM/SYNPO/MAP1A/TPM1/FGF13/CLIP2/MAP1B/LTBP2/FHOD3/COL5A1/COL12A1/DDR2/ACTN1/ARHGEF10/DST/ADAMTS2/MICAL2/PHLDB2/SHROOM2/SHANK3/HMCN1/PXDN/CLU/DSP/LOXL2/GSN/FOXC1/EPPK1/CORO1A/ESPN/CDC42EP3/NAV3/CCDC13/PTK2B/FERMT2/MYO1B/SFRP2/FMOD/GMFG/PPFIA1/NDE1/BAG4/OBSL1/DSTN/MYO1D/DAAM2/RUFY3/FBLN5/SVIL/COL1A2/FER/PLEC/FKBP10/AKAP13/CFL2/F2RL1/DBN1/PDLIM1/ELN/ELMO1/CLIP4/SWAP70/HOOK3/ARHGAP25/VASP/COL5A2/MICAL3/PDGFRB/FSD1/ARHGAP28/CTTN/EMILIN1/PLEKHG2/CRTAP/SLAIN2/CAPN3/MPRIP/MYO1E/ENAH/TGFBR1/SCIN/MEF2A/CDH5/SNX9/SHROOM4/DMTN/SEMA5A/TNXB/FLII/RB1/PIK3CA/NEDD9/EFEMP2/RHOBTB2/FHDC1/FCHSD2/TPM4/KRT15/ARL2/GIT1/HCLS1/MTM1/USP9X/BAIAP2/ALMS1/RAP1GDS1/DCTN1/MECP2/NIN/PAFAH1B1/MAPRE1/TTC17/PRKCE/ARHGEF15/SH3KBP1/DPYSL3"
